"","SRR5826942","SRR5826943","SRR5826944","SRR5826945","SRR5826946","SRR5826947","SRR5826948","SRR5826949","SRR5826950","SRR5826951","SRR5826952","SRR5826953","SRR5826954","SRR5826955","SRR5826956","SRR5826957","SRR5826958"
"AT1G01010",1075,831,774,1737,1713,2551,5476,3850,4304,2903,3739,4048,2123,1871,2799,1658,1546
"AT1G01020",287,259.001,221,232.999,194,240,371.001,211.999,225,247,349.999,369,306,293.999,378,382.001,396
"AT1G01030",0,0,0,2,7,0,1,0,2,0,3,1,3,0,0,0,0
"AT1G01040",1494,1245,1199,754,775,1070,1098,790,829,896,1149,1137,1154,1122,1531,1446,1533
"AT1G01050",1919.535,1624.077,1280.974,950.425,926.981,1188.898,890.35,612.323,679.326,685.363,900.974,933.375,1217.421,1143.403,1487.963,1733.392,1719.963
"AT1G01060",944.001,744.999,510,561,618,735.001,409,213,257,188,246,222.999,909,908,1096.001,1373,1306
"AT1G01070",419.049,372.671,344.626,90.262,77,112.294,59.195,53,69.728,89.747,119,96.792,126.49,104,152.496,71.338,96.589
"AT1G01080",218,169,161,80,64,102,175,130,129,136,186,164,348,299,415,383,413
"AT1G01090",2089,1752,1244,1048,972,1229,1241,878,950,1124,1491,1382,2598,2285,2780,4084,3809
"AT1G01100",2452.013,1862,1562.334,1345.785,1351,1906.476,2578.495,1603.451,1895.028,2369.001,2990.959,3050.51,4206.334,3955.492,5740.763,6644.603,5953.794
"AT1G01110",42,32,19,27,29,32,33,33,21,12,22,12,27,24,16,29,32
"AT1G01120",9711,6782,3726,4276,3958,4771,9541,7618,8609,2549,3032,3515,3110,2423,3705,2909,2723
"AT1G01130",20,18,4,5,5,5,3,6,6,2,2,9,13,7,14,19,13
"AT1G01140",1215,1033,755,946,900,906,1532,1293.001,1152,671,763,931,715,576.999,872,562,567
"AT1G01150",2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2
"AT1G01160",710,660,523,279,336,421,640,388,512,498,740,692,698,671,907,874,848
"AT1G01170",375,305,308,200,167,291,100,75,68,96,122,110,179,136,179,157,147
"AT1G01180",1146,802,817,184,249,307,448,242,240,326,409,329,464,341,508,424,473
"AT1G01190",50,55,69,30,37,49,10,12,12,11,9,10,33,58,34,149,135
"AT1G01200",67,44,15,18,10,11,11,12,11,8,16,15,54,54,45,108,73
"AT1G01210",237.394,208.108,176.797,112.941,94.656,140.076,312.766,206.224,269.893,342.095,375.803,358.446,422.249,413.281,503.201,456.345,419.244
"AT1G01220",620,443,334,194,178,237.001,499.999,303,326,404,568,483.001,513,425,570.999,838,825
"AT1G01225",120,101,74,42,40,53,73,30,52,35,46,62,89,85,110,166,165
"AT1G01230",924,671,550,436,404,525,1017,771,830,690,922,835,671,657,893,806,689
"AT1G01240",575.999,463,502,148,174,210,139,119,119,141,165,147,173,200,242,252,262
"AT1G01250",0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
"AT1G01260",410,339,238,882,983,1220.999,760.001,554,550,433,614,520,489,421,614.999,611,594
"AT1G01280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01290",384,321,266,217,182,258,339,227,234,279,346,345,357,351,496,530,525
"AT1G01300",1934,1469,943,592,640,787,691,470,430,374,507,581,1814,1801,2242,4238,4274
"AT1G01305",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AT1G01310",0,2,1,1,0,1,5,2,2,4,2,2,2,1,1,2,0
"AT1G01320",637,571,558,378,387,531,826,503,645,644,707,703,1328,1038,1486,797,894
"AT1G01335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01340",54.986,44,33,179,211.991,236.982,481.945,358.949,316.975,328.995,559.989,411.991,142,129.99,151.979,218.996,196.996
"AT1G01350",512.554,486.324,408.628,485.9,517.982,627.423,718.717,528.2,530.16,527.21,698.135,589.894,504.43,468.402,613.122,731.113,710.567
"AT1G01355",14,19,14,14,9,11,17,5,8,8,9,10,10,9,12,8,11
"AT1G01360",380,312,245,217,224,229,133,110,88,113,155,128,185,124,169,229,193
"AT1G01370",86,82,56,35,34,60,33,12,20,22,18,23.999,74,84,72,155,165
"AT1G01380",21,19,14,6,5,14,5,8,2,37,38,55,6,9,5,27,22
"AT1G01390",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"AT1G01400",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AT1G01410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01420",347,249,183,49,46,64,43,25,17,28,33,50,167,118,165,297,269
"AT1G01430",3113,2111,1647,642,627,865,633,468,411,383,446,395,1114,759,1071,1765,1723
"AT1G01440",639,527,517,241,334,382,477,344,395,289,453,439,351,312,440,432,466
