C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
Genes	Genes	Genes	Genes	Genes	Genes
AT1G01210	AT1G01100	AT1G01200	AT1G01030	AT1G01070	AT1G01260
AT1G01570	AT1G01290	AT1G01370	AT1G01050	AT1G01250	AT1G01350
AT1G01630	AT1G01920	AT1G01420	AT1G01170	AT1G01355	AT1G01470
AT1G01740	AT1G02050	AT1G01510	AT1G01240	AT1G01440	AT1G01560
AT1G01910	AT1G02060	AT1G01690	AT1G01360	AT1G01453	AT1G01650
AT1G02030	AT1G02140	AT1G01880	AT1G01620	AT1G01770	AT1G01710
AT1G02370	AT1G02290	AT1G02130	AT1G01640	AT1G01930	AT1G02000
AT1G02420	AT1G02470	AT1G02145	AT1G01780	AT1G02190	AT1G02170
AT1G02430	AT1G02780	AT1G02530	AT1G01830	AT1G02250	AT1G02270
AT1G02500	AT1G02800	AT1G02690	AT1G02010	AT1G02570	AT1G02390
AT1G02580	AT1G03310	AT1G02730	AT1G02100	AT1G02620	AT1G02400
AT1G02850	AT1G03330	AT1G02970	AT1G02305	AT1G02950	AT1G02880
AT1G02870	AT1G03630	AT1G03780	AT1G02340	AT1G03200	AT1G03070
AT1G02930	AT1G03820	AT1G04020	AT1G02640	AT1G03610	AT1G03160
AT1G03040	AT1G04190	AT1G04030	AT1G02840	AT1G03880	AT1G03370
AT1G03100	AT1G04590	AT1G04410	AT1G02860	AT1G04180	AT1G03590
AT1G03110	AT1G04680	AT1G04650	AT1G02910	AT1G04470	AT1G03730
AT1G03150	AT1G04710	AT1G04820	AT1G02960	AT1G04610	AT1G03740
AT1G03340	AT1G04730	AT1G05320	AT1G03090	AT1G04830	AT1G03770
AT1G03360	AT1G04840	AT1G05440	AT1G03445	AT1G04880	AT1G04100
AT1G03530	AT1G04850	AT1G05590	AT1G03550	AT1G04970	AT1G04490
AT1G03540	AT1G04900	AT1G05720	AT1G03870	AT1G04985	AT1G04960
AT1G03687	AT1G05000	AT1G05870	AT1G03900	AT1G04990	AT1G05020
AT1G03760	AT1G05080	AT1G05950	AT1G03920	AT1G05090	AT1G05100
AT1G03800	AT1G05205	AT1G06680	AT1G04240	AT1G05120	AT1G05170
AT1G03830	AT1G05430	AT1G07270	AT1G04250	AT1G05510	AT1G05200
AT1G03860	AT1G05460	AT1G07320	AT1G04330	AT1G05610	AT1G05340
AT1G03910	AT1G05700	AT1G07740	AT1G04440	AT1G05783	AT1G05400
AT1G03980	AT1G06160	AT1G07770	AT1G04560	AT1G05785	AT1G05575
AT1G04170	AT1G06240	AT1G07820	AT1G04778	AT1G05800	AT1G05675
AT1G04270	AT1G06560	AT1G08430	AT1G05230	AT1G05990	AT1G05960
AT1G04340	AT1G06820	AT1G08480	AT1G05570	AT1G06050	AT1G06080
AT1G04360	AT1G06960	AT1G08540	AT1G05660	AT1G06135	AT1G06620
AT1G04480	AT1G07210	AT1G08660	AT1G05790	AT1G06400	AT1G06740
AT1G04510	AT1G07340	AT1G08670	AT1G05830	AT1G06430	AT1G06750
AT1G04635	AT1G07560	AT1G09200	AT1G05840	AT1G06460	AT1G06800
AT1G04640	AT1G07920	AT1G09240	AT1G05850	AT1G06490	AT1G07000
AT1G04690	AT1G07940	AT1G09390	AT1G05890	AT1G06570	AT1G07130
AT1G04770	AT1G08070	AT1G09450	AT1G06060	AT1G06650	AT1G07135
AT1G04860	AT1G08120	AT1G09840	AT1G06110	AT1G07120	AT1G07150
AT1G04870	AT1G08360	AT1G09850	AT1G06170	AT1G07470	AT1G07330
AT1G04945	AT1G08750	AT1G10020	AT1G06640	AT1G07480	AT1G07400
AT1G04980	AT1G08830	AT1G10200	AT1G06700	AT1G08160	AT1G07410
AT1G05065	AT1G08840	AT1G10780	AT1G06810	AT1G08340	AT1G07430
AT1G05180	AT1G08880	AT1G10840	AT1G07040	AT1G08630	AT1G07500
AT1G05220	AT1G09150	AT1G10950	AT1G07080	AT1G08645	AT1G07510
AT1G05650	AT1G09560	AT1G10970	AT1G07110	AT1G09155	AT1G08050
AT1G05670	AT1G09690	AT1G11130	AT1G07170	AT1G09230	AT1G08800
AT1G05730	AT1G09760	AT1G11420	AT1G07300	AT1G09440	AT1G08920
AT1G05910	AT1G09780	AT1G11680	AT1G07645	AT1G09750	AT1G08930
AT1G06143	AT1G09800	AT1G11700	AT1G07650	AT1G10060	AT1G09070
AT1G06150	AT1G10980	AT1G11860	AT1G07730	AT1G10070	AT1G09140
AT1G06180	AT1G11440	AT1G13330	AT1G07850	AT1G10095	AT1G09575
AT1G06190	AT1G11475	AT1G13610	AT1G08040	AT1G10225	AT1G09795
AT1G06220	AT1G11750	AT1G14450	AT1G08165	AT1G10600	AT1G09880
AT1G06380	AT1G12050	AT1G15080	AT1G08210	AT1G11000	AT1G09932
AT1G06470	AT1G12244	AT1G15500	AT1G08310	AT1G11110	AT1G09940
AT1G06530	AT1G12270	AT1G15660	AT1G08460	AT1G11112	AT1G09950
AT1G06550	AT1G12800	AT1G15760	AT1G08500	AT1G11180	AT1G09970
AT1G06670	AT1G13040	AT1G15910	AT1G08510	AT1G11410	AT1G09995
AT1G06710	AT1G13060	AT1G15970	AT1G08570	AT1G11500	AT1G10040
AT1G06720	AT1G13270	AT1G16080	AT1G08650	AT1G11915	AT1G10050
AT1G06730	AT1G13320	AT1G16445	AT1G08680	AT1G12280	AT1G10340
AT1G06790	AT1G13440	AT1G16560	AT1G08860	AT1G12290	AT1G10530
AT1G06950	AT1G13510	AT1G16780	AT1G08980	AT1G12350	AT1G10650
AT1G07070	AT1G13860	AT1G17470	AT1G09010	AT1G12540	AT1G11050
AT1G07140	AT1G13950	AT1G17540	AT1G09195	AT1G12600	AT1G11210
AT1G07390	AT1G14350	AT1G18060	AT1G09280	AT1G12680	AT1G11310
AT1G07420	AT1G14620	AT1G18197	AT1G09310	AT1G12805	AT1G11390
AT1G07590	AT1G15000	AT1G18335	AT1G09540	AT1G13430	AT1G11570
AT1G07615	AT1G15085	AT1G18370	AT1G09730	AT1G13710	AT1G11670
AT1G07705	AT1G15120	AT1G18450	AT1G09740	AT1G14390	AT1G11960
AT1G07780	AT1G15200	AT1G18490	AT1G09910	AT1G14730	AT1G12610
AT1G07830	AT1G15215	AT1G19920	AT1G10150	AT1G15130	AT1G12950
AT1G07840	AT1G15270	AT1G20050	AT1G10540	AT1G15160	AT1G13195
AT1G07885	AT1G15290	AT1G20090	AT1G10660	AT1G15460	AT1G13210
AT1G07910	AT1G15320	AT1G20180	AT1G10740	AT1G15540	AT1G13390
AT1G07930	AT1G15810	AT1G20570	AT1G10750	AT1G15580	AT1G13880
AT1G07960	AT1G15820	AT1G20610	AT1G10850	AT1G15610	AT1G13960
AT1G08125	AT1G15930	AT1G20696	AT1G10890	AT1G16022	AT1G13990
AT1G08130	AT1G15940	AT1G20720	AT1G11090	AT1G16320	AT1G14260
AT1G08220	AT1G16000	AT1G21065	AT1G11303	AT1G16705	AT1G14330
AT1G08400	AT1G16020	AT1G21740	AT1G11450	AT1G16730	AT1G14530
AT1G08410	AT1G16060	AT1G22060	AT1G11480	AT1G18170	AT1G14560
AT1G08580	AT1G16690	AT1G22170	AT1G11530	AT1G18180	AT1G14590
AT1G08610	AT1G16700	AT1G23190	AT1G11545	AT1G18310	AT1G14640
AT1G08640	AT1G16740	AT1G24050	AT1G11730	AT1G19300	AT1G15010
AT1G08960	AT1G17350	AT1G24120	AT1G11740	AT1G19320	AT1G15030
AT1G09130	AT1G17560	AT1G24240	AT1G11785	AT1G19396	AT1G15110
AT1G09190	AT1G17880	AT1G25440	AT1G11810	AT1G19397	AT1G15330
AT1G09210	AT1G18080	AT1G25490	AT1G12060	AT1G19400	AT1G15430
AT1G09290	AT1G18530	AT1G26330	AT1G12070	AT1G19660	AT1G15520
AT1G09300	AT1G19240	AT1G26540	AT1G12080	AT1G20440	AT1G15530
AT1G09420	AT1G19290	AT1G26940	AT1G12090	AT1G20460	AT1G15800
AT1G09590	AT1G20065	AT1G27310	AT1G12330	AT1G20810	AT1G16030
AT1G09680	AT1G20430	AT1G27340	AT1G12360	AT1G21400	AT1G16370
AT1G09700	AT1G20480	AT1G28100	AT1G12580	AT1G21460	AT1G16670
AT1G09810	AT1G20580	AT1G28650	AT1G12780	AT1G22275	AT1G16850
AT1G09830	AT1G20950	AT1G29070	AT1G12790	AT1G22590	AT1G17110
AT1G09900	AT1G21560	AT1G29179	AT1G13080	AT1G22930	AT1G17340
