	SRR5826942	SRR5826943	SRR5826944	SRR5826945	SRR5826946	SRR5826947	SRR5826948	SRR5826949	SRR5826950	SRR5826951	SRR5826952	SRR5826953	SRR5826954	SRR5826955	SRR5826956	SRR5826957	SRR5826958
AT1G01010	1075.0	831.0	774.0	1737.0	1713.0	2551.0	5476.0	3850.0	4304.0	2903.0	3739.0	4048.0	2123.0	1871.0	2799.0	1658.0	1546.0
AT1G01020	287.0	259.001	221.0	232.99900000000002	194.0	240.0	371.001	211.99900000000002	225.0	247.0	349.999	369.0	306.0	293.999	378.0	382.001	396.0
AT1G01030	0.0	0.0	0.0	2.0	7.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0
AT1G01040	1494.0	1245.0	1199.0	754.0	775.0	1070.0	1098.0	790.0	829.0	896.0	1149.0	1137.0	1154.0	1122.0	1531.0	1446.0	1533.0
AT1G01050	1919.535	1624.0770000000002	1280.974	950.425	926.9810000000001	1188.8980000000001	890.35	612.323	679.326	685.363	900.9739999999999	933.375	1217.421	1143.403	1487.963	1733.392	1719.963
AT1G01060	944.0010000000001	744.9989999999999	510.0	561.0	618.0	735.0010000000001	409.0	213.0	257.0	188.0	246.0	222.99900000000002	909.0	908.0	1096.001	1373.0	1306.0
AT1G01070	419.04900000000004	372.671	344.626	90.262	77.0	112.294	59.195	53.0	69.72800000000001	89.74700000000001	119.0	96.792	126.49	104.0	152.496	71.33800000000001	96.589
AT1G01080	218.0	169.0	161.0	80.0	64.0	102.0	175.0	130.0	129.0	136.0	186.0	164.0	348.0	299.0	415.0	383.0	413.0
AT1G01090	2089.0	1752.0	1244.0	1048.0	972.0	1229.0	1241.0	878.0	950.0	1124.0	1491.0	1382.0	2598.0	2285.0	2780.0	4084.0	3809.0
AT1G01100	2452.013	1862.0	1562.3339999999998	1345.785	1351.0	1906.476	2578.495	1603.451	1895.0279999999998	2369.001	2990.9590000000003	3050.51	4206.334	3955.492	5740.763000000001	6644.603	5953.794
AT1G01110	42.0	32.0	19.0	27.0	29.0	32.0	33.0	33.0	21.0	12.0	22.0	12.0	27.0	24.0	16.0	29.0	32.0
AT1G01120	9711.0	6782.0	3726.0	4276.0	3958.0	4771.0	9541.0	7618.0	8609.0	2549.0	3032.0	3515.0	3110.0	2423.0	3705.0	2909.0	2723.0
AT1G01130	20.0	18.0	4.0	5.0	5.0	5.0	3.0	6.0	6.0	2.0	2.0	9.0	13.0	7.0	14.0	19.0	13.0
